item_name,url,thumbnail_url,price
Up to 20% off Lenovo IdeaPad 3 Laptop,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-82KT00GVUS/dp/B09BG841VC?ref=dlx_deals_gd_dcl_img_28_e6d6dcf2_dt_sl15_bd,https://m.media-amazon.com/images/I/417aITR9MDL.jpg,479.99
"Govee Glide RGBIC Smart Wall Light, Multicolor Customizable, Music Sync Home Decor LED Light Bar for Gaming and Streaming, with 40+ Dynamic Scenes, Alexa and Google Assistant, 6 Pcs and 1 Corner",https://www.amazon.com/Govee-Multicolor-Customizable-Streaming-Assistant/dp/B091L21GZK?ref=dlx_deals_gd_dcl_img_29_ce1eccf2_dt_sl15_bd,https://m.media-amazon.com/images/I/41Icr1EjTtL.jpg,84.99
Huge Savings on Luxury Bed Sheets!,https://www.amazon.com/CGK-Unlimited-Twin-Sheet-Set/dp/B078NW36RZ?ref=dlx_deals_gd_dcl_img_30_22a8c6f7_dt_sl15_bd,https://m.media-amazon.com/images/I/41sUP6u85vL.jpg,23.79
"Save up to 20% off select cases and accessories by OtterBox, Samsung, Belkin, Tech21, and more",https://www.amazon.com/b?node=23681586011&ref=dlx_deals_gd_dcl_img_31_23168fdb_dt_sl15_bd,https://m.media-amazon.com/images/I/319EwHk1AfL.jpg,6.70
Up to 24% off AOC and Philips Monitors,https://www.amazon.com/deal/0a6106a4?ref=dlx_deals_gd_dcl_img_32_0a6106a4_dt_sl15_bd,https://m.media-amazon.com/images/I/31ISdJ6tLJL.jpg,158.99
Up to 20% Off Samsung Phones,https://www.amazon.com/deal/4680b515?showVariations=true&ref=dlx_deals_gd_dcl_img_33_4680b515_dt_sl15_bd,https://m.media-amazon.com/images/I/41fe1ZUBZ9L.jpg,624.99
"Inorin Womens Sleeveless Plaid Asymmetrical Hem Tassel Drape Open Front Cardigan Vest (X-Large, Yred)",https://www.amazon.com/Inorin-Sleeveless-Asymmetrical-Cardigan-X-Large/dp/B07YDTZDB1?ref=dlx_deals_gd_dcl_img_34_64425c6b_dt_sl15_bd,https://m.media-amazon.com/images/I/51-sQHAlTaL.jpg,17.49
Up to 32% off Bissell Floorcare and Air Purifiers,https://www.amazon.com/deal/b6dbd6ec?showVariations=true&ref=dlx_deals_gd_dcl_img_35_b6dbd6ec_dt_sl15_bd,https://m.media-amazon.com/images/I/31OtomiDieL.jpg,159.99
"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A0258924TKKGC5UQL6&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FProtector-POWRUI-6-Outlet-Extender-Charging%2Fdp%2FB07CCGBB7M%3Fref%3Ddlx_deals_gd_dcl_img_36_e6ab7af0_dt_sl15_bd,https://m.media-amazon.com/images/I/41QLuWcqFjL.jpg,16.97
Up to 30% off Colgate Selection,https://www.amazon.com/deal/78f6e137?showVariations=true&ref=dlx_deals_gd_dcl_img_37_78f6e137_dt_sl15_bd,https://m.media-amazon.com/images/I/41JfKuuDSfL.jpg,6.57
